Codigo IBGE do Municipio;Codigo da Unidade da Federacao;Sigla da Unidade da Federacao;Nome das Grandes Regioes;Codigo IBGE da Mesoregiao;Nome da Mesoregiao;Codigo IBGE da Microregiao;Nome da Microregiao;area da unidade territorial;Estabelecimentos de Saude SUS;indice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matricula - Ensino fundamental - 2012;Matricula - Ensino medio - 2012;Numero de unidades locais;Pessoal ocupado total;PIB per capita a preços correntes;Populacao residente;Populacao residente - Homens;Populacao residente - Mulheres;Populacao residente alfabetizada;Populacao residente que frequentava creche ou escola;Populacao residente, religiao catolica apostolica romana;Populacao residente, religiao espirita;Populacao residente, religiao evangelicas;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Urbana;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Rural;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Urbana
330190;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;430,374;62;0,693;36776;7618;3148;37551;10025,62;218008;106190;111818;187913;67951;72914;3306;85147;382,5;446,67;1328,39;1860,87
330200;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33017;Itaguai;275,867;27;0,715;19812;5426;2365;36944;39252,85;109091;54409;54682;94451;32931;35487;1558;45127;437,5;500;1610,9;2047,75
330205;33;RJ;Sudeste;3301;Noroeste Fluminense;33001;Itaperuna;293,818;13;0,688;1717;435;302;2253;9575,87;14063;6853;7210;11808;3569;6345;54;5594;355;510;1259,39;1913,2
330210;33;RJ;Sudeste;3301;Noroeste Fluminense;33002;Santo Antonio de Padua;431,335;14;0,713;2916;862;751;4099;11269,84;22899;11192;11707;19278;6422;12767;275;7507;410;510;1442,02;1845,58
330220;33;RJ;Sudeste;3301;Noroeste Fluminense;33001;Itaperuna;1105,341;46;0,73;12799;3356;2971;22423;14689,73;95841;46553;49288;83101;26267;50664;1227;35392;333,33;510;1137,01;2144,72
330225;33;RJ;Sudeste;3305;Sul Fluminense;33011;Vale do Paraiba Fluminense;245,147;11;0,737;4006;507;1011;8654;48855,42;28783;14213;14570;25002;7979;16005;437;7641;387,5;533,33;1393,22;2403,97
330227;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;81,871;15;0,659;16859;3415;615;6237;9611,85;95492;48080;47412;80294;29346;25151;949;36490;.;340;.;1385,52
330230;33;RJ;Sudeste;3301;Noroeste Fluminense;33001;Itaperuna;249,974;8;0,668;1160;301;159;1075;10273,93;7487;3751;3736;6080;2167;5765;49;1273;300;380,4;939,99;1607,06
330240;33;RJ;Sudeste;3302;Norte Fluminense;33004;Macau;1216,846;83;0,764;31610;7452;6046;139994;54501,02;206728;102432;104296;180281;62182;76574;7782;72152;380;666,67;1381,23;3429,79
330245;33;RJ;Sudeste;3303;Centro Fluminense;33006;Cantagalo-Cordeiro;77,719;6;0,703;1185;184;214;1680;15752,34;5269;2528;2741;4449;1562;3948;7;1005;255;453,33;1376,14;1917,84
330250;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;388,496;78;0,709;39976;10185;3536;23452;9053,41;227322;110576;116746;196290;68812;90325;5079;78411;370;452,5;1462,54;1872,58
